iteration,solved,valid_moves,total_moves
1,True,56819,237608
2,True,37312,157457
3,True,27228,117064
4,True,35812,150286
5,True,113841,484316
6,True,124077,478093
7,True,19169,75964
8,True,70329,267181
9,True,72758,284242
10,True,32990,127569
11,True,47892,210481
12,True,201315,767440
13,True,123232,478926
14,True,20988,81798
15,True,22592,88541
16,True,18928,74532
17,True,54195,206423
18,True,33075,127717
19,True,55242,207840
20,True,44283,196053
21,True,19473,81944
22,True,8899,40393
23,True,118486,458078
24,True,144052,558932
25,True,46036,202371
26,True,141398,537887
27,True,109729,412505
28,True,17180,69574
29,True,74203,307489
30,True,79139,314619
31,True,44336,169092
32,True,36066,138587
33,True,126830,482038
34,True,46066,194169
35,True,90622,348968
36,True,60070,242718
37,True,171198,641909
38,True,68579,268555
39,True,18910,74484
40,True,4639,19590
41,True,215354,819935
42,True,73461,279846
43,True,98659,367711
44,True,32190,126744
45,True,72563,286776
46,True,39748,152278
47,True,100316,383142
48,True,285759,1093099
49,True,130365,504544
50,True,22573,93869
51,True,32249,136652
52,True,48951,204204
53,True,117009,444507
54,True,50188,232079
55,True,81142,307884
56,True,69222,270001
57,True,61664,262500
58,True,54905,212605
59,True,156798,597044
60,True,164346,617327
61,True,86372,355157
62,True,93297,391187
63,True,53440,201694
64,True,31429,128420
65,True,79576,326436
66,True,186558,749522
67,True,27057,118658
68,True,24520,95512
69,True,20096,83317
70,True,68910,266120
71,True,95798,386886
72,True,65086,275617
73,True,28507,114337
74,True,55241,210581
75,True,42130,162490
76,True,58662,266059
77,True,37684,147906
78,True,23227,88850
79,True,166542,636920
80,True,60430,273571
81,True,167064,656130
82,True,15420,61976
83,True,97993,418704
84,True,65839,267829
85,True,76713,297382
86,True,81773,346957
87,True,37639,149768
88,True,19293,79860
89,True,24241,90791
90,True,85654,344865
91,True,109524,480195
92,True,107474,418787
93,True,27380,108422
94,True,148209,630700
95,True,79742,319396
96,True,59473,238635
97,True,11904,48284
98,True,86211,333020
99,True,69775,266267
100,True,95650,375648
101,True,116073,440568
102,True,21119,79944
103,True,50315,202692
104,True,101996,397224
105,True,82726,332988
106,True,2465,10062
107,True,46758,187653
108,True,55645,213778
109,True,73235,281400
110,True,55231,227831
111,True,38437,158147
112,True,23062,100845
113,True,152515,584038
114,True,85446,352238
115,True,32042,139154
116,True,298010,1150800
117,True,16465,66272
118,True,50085,190530
119,True,288689,1095766
120,True,7235,28619
121,True,90479,355736
122,True,57080,225712
123,True,130067,501864
124,True,47786,216836
125,True,63451,243416
126,True,96027,386084
127,True,210851,816396
128,True,83268,358372
129,True,42554,193515
130,True,70625,280217
131,True,247786,945661
132,True,22849,94852
133,True,87475,336563
134,True,180285,692672
135,True,62910,258458
136,True,72692,275513
137,True,33896,135073
138,True,21884,91879
139,True,65067,238341
140,True,142737,543900
141,True,104777,405778
142,True,51221,208435
143,True,146929,620562
144,True,147477,624388
145,True,32332,140602
146,True,25755,114243
147,True,64432,279231
148,True,17910,70475
149,True,77944,315142
150,True,146690,625905
151,True,185080,724506
152,True,120367,455515
153,True,57798,226376
154,True,53603,211505
155,True,199090,739541
156,True,131810,493106
157,True,55955,232249
158,True,120437,471589
159,True,43855,185672
160,True,44525,173452
161,True,12430,53452
162,True,109981,459653
163,True,212847,806753
164,True,62245,252464
165,True,78980,343180
166,True,66740,286535
167,True,62095,237737
168,True,217084,895183
169,True,45977,180932
170,True,42754,164234
171,True,75801,311392
172,True,26972,108232
173,True,72951,286152
174,True,29466,120757
175,True,23245,89989
176,True,285668,1098953
177,True,38824,155615
178,True,41968,155682
179,True,48580,203346
180,True,21776,100021
181,True,17579,83524
182,True,53858,220006
183,True,41055,161390
184,True,68465,290337
185,True,169644,667206
186,True,63182,257790
187,True,192107,745757
188,True,82287,346498
189,True,178937,755998
190,True,44009,180498
191,True,33886,128657
192,True,53999,208481
193,True,38329,153361
194,True,103803,385795
195,True,12361,50899
196,True,83090,306133
197,True,54944,216412
198,True,95708,393397
199,True,55513,220444
200,True,161007,591604
201,True,44941,168383
202,True,33853,129938
203,True,22114,87547
204,True,154950,611668
205,True,60651,236979
206,True,68632,263969
207,True,342644,1334577
208,True,180268,683240
209,True,19571,79341
210,True,28866,120707
211,True,29268,113938
212,True,49481,225644
213,True,48528,193394
214,True,92337,359449
215,True,7840,34519
216,True,71458,323564
217,True,109764,413917
218,True,55197,224326
219,True,59836,249404
220,True,49143,185327
221,True,45281,176379
222,True,196750,762330
223,True,73161,280442
224,True,178343,689038
225,True,47777,201488
226,True,63990,251797
227,True,65388,249772
228,True,198911,762828
229,True,70960,270489
230,True,36705,154952
231,True,47585,189583
