iteration,solved,valid_moves,total_moves
1,True,6754,37974
2,True,1544,9054
3,True,8163,45331
4,True,10155,58112
5,True,4246,23525
6,True,22899,125890
7,True,20477,113215
8,True,3072,17405
9,True,17729,97932
10,True,43590,240522
11,True,11039,60365
12,True,25438,143462
13,True,15101,85859
14,True,17275,96767
15,True,5108,28934
16,True,25424,141389
17,True,4735,27765
18,True,1163,6801
19,True,8223,47862
20,True,24141,135353
21,True,3985,22494
22,True,9753,55055
23,True,12061,66783
24,True,25606,139663
25,True,3328,19408
26,True,19617,109687
27,True,29636,165750
28,True,5311,29067
29,True,9979,54706
30,True,5737,32131
31,True,9503,52991
32,True,2522,14013
33,True,20333,116344
34,True,10925,61123
35,True,3840,21024
36,True,7472,41056
37,True,10045,57491
38,True,12475,69471
39,True,4104,23311
40,True,3355,20032
41,True,20706,116615
42,True,6880,37872
43,True,8670,49063
44,True,7412,41314
45,True,7924,44948
46,True,16332,92615
47,True,10848,59567
48,True,9072,49585
49,True,5692,32836
50,True,20604,115198
51,True,16797,94883
52,True,13507,74301
53,True,11615,64341
54,True,1741,9523
55,True,23909,134793
56,True,23407,128514
57,True,27347,150822
58,True,8701,48555
59,True,2463,13507
60,True,8489,46613
61,True,2492,13603
62,True,12818,70436
63,True,5869,32133
64,True,4975,27269
65,True,2667,15753
66,True,15224,86460
67,True,60471,333036
68,True,19401,108425
69,True,32009,176596
70,True,22880,127268
71,True,4669,25545
72,True,25543,141443
73,True,8728,49526
74,True,15235,84289
75,True,32140,176020
76,True,18455,103602
77,True,11066,61387
78,True,5285,30436
79,True,2617,15836
80,True,6646,38326
81,True,16186,90490
82,True,12680,70243
83,True,16813,94289
84,True,39451,219214
85,True,15843,87343
86,True,29753,162908
87,True,7810,42346
88,True,1173,6347
89,True,12190,67680
90,True,11445,62996
91,True,3233,18015
92,True,49021,273628
93,True,11110,62053
94,True,6490,35920
95,True,12765,71351
96,True,8540,47550
97,True,3631,20281
98,True,8025,45128
99,True,22159,123814
100,True,7606,42042
101,True,2399,13801
102,True,1058,5778
103,True,7474,41115
104,True,2246,12034
105,True,21059,117617
106,True,2301,12870
107,True,9490,54350
108,True,65193,361836
109,True,2153,12192
110,True,22205,125190
111,True,10974,60861
112,True,17607,100079
113,True,11076,60695
114,True,50802,283204
115,True,20841,115452
116,True,496,3244
117,True,42405,235622
118,True,10198,56761
119,True,9331,50287
120,True,4427,24071
121,True,15269,84654
122,True,15428,86597
123,True,21931,123283
124,True,2799,16205
125,True,12737,71708
126,True,30406,172599
127,True,6806,38270
128,True,26566,149142
129,True,3625,19609
130,True,29789,166022
131,True,8826,50014
132,True,833,4360
133,True,19414,108382
134,True,17981,101803
135,True,1179,6529
136,True,4966,27577
137,True,12123,67636
138,True,1760,9900
139,True,19066,106616
140,True,25614,141409
141,True,21886,124028
142,True,22026,124779
143,True,8302,47367
144,True,17222,93910
145,True,36046,200006
146,True,10048,54415
147,True,6203,34366
148,True,3944,21539
149,True,2743,15567
150,True,6169,34552
151,True,13842,77866
152,True,5021,28322
153,True,42485,236598
154,True,681,4168
155,True,20009,113122
156,True,26024,145522
157,True,31785,180442
158,True,3545,20752
159,True,19693,111655
160,True,7780,43595
161,True,13304,72171
162,True,16477,94206
163,True,19065,107167
164,True,3605,19520
165,True,800,4662
166,True,2553,14590
167,True,13004,74077
168,True,11741,66010
169,True,25532,139408
170,True,5422,30179
171,True,11945,67114
172,True,662,3553
173,True,42635,236993
174,True,14103,79155
175,True,54679,305777
176,True,7559,44287
177,True,5855,32811
178,True,9275,50970
179,True,16181,89688
180,True,26024,143789
181,True,24477,136935
182,True,7031,38792
183,True,4210,23258
184,True,2884,16088
185,True,51656,286653
186,True,1539,8578
187,True,24409,134703
188,True,13455,75088
189,True,14578,80668
190,True,26801,148711
191,True,17816,100066
192,True,15077,85213
193,True,9814,54764
194,True,5415,31278
195,True,17658,100126
196,True,13324,73689
197,True,29323,164098
198,True,14633,82740
199,True,3366,19064
200,True,13702,76807
201,True,4878,26659
202,True,33335,185409
203,True,7247,40332
204,True,23774,134311
205,True,6734,37180
206,True,8167,46048
207,True,1989,11010
208,True,13547,77231
209,True,5375,29933
210,True,15611,90449
211,True,16669,92178
212,True,4771,26072
213,True,11596,64288
214,True,9546,52828
215,True,24980,140113
216,True,63139,353514
217,True,2627,14519
218,True,69586,391020
219,True,18461,103634
220,True,5976,33182
221,True,35934,197660
222,True,12865,72411
223,True,11347,61804
224,True,22793,128155
225,True,14269,79116
226,True,8044,45321
227,True,45578,256737
228,True,6063,33094
229,True,56426,313006
230,True,4903,27403
231,True,4508,25293
232,True,23049,127086
233,True,16355,90452
234,True,3548,19440
235,True,31441,177161
236,True,33572,187991
237,True,735,4357
238,True,12806,71481
239,True,12331,67984
240,True,10085,56486
241,True,3475,18835
242,True,36235,201891
243,True,8753,48347
244,True,26429,146757
245,True,1951,10567
246,True,7971,44882
247,True,6194,34489
248,True,8158,44723
249,True,13584,76800
250,True,27806,156435
251,True,16230,91205
252,True,25017,137998
253,True,2319,13566
254,True,4165,23279
255,True,47921,267699
256,True,38218,213867
257,True,7977,43648
258,True,4049,23885
259,True,12515,70845
260,True,7823,43968
261,True,5180,29232
262,True,17062,95242
263,True,7863,44840
264,True,11417,64120
265,True,4815,26374
266,True,2538,13719
267,True,25622,141627
268,True,18146,103899
269,True,14822,83573
270,True,7631,43793
271,True,50944,282436
272,True,42296,233383
273,True,17441,99402
274,True,6437,35545
275,True,4576,25213
276,True,20168,112514
277,True,8436,46343
278,True,12608,69870
279,True,3067,17293
280,True,6813,37197
281,True,3149,18061
282,True,10643,60786
283,True,12131,67195
284,True,23633,133659
285,True,792,4765
286,True,1642,9672
287,True,90463,506432
288,True,21603,121005
289,True,42352,238188
290,True,15191,86176
291,True,5441,30251
292,True,33419,185412
293,True,839,4859
294,True,6780,38124
295,True,4443,24418
296,True,2288,14265
297,True,20647,115285
298,True,52625,294439
299,True,7325,40381
300,True,17747,100825
301,True,27343,150450
302,True,2547,14046
303,True,23894,134460
304,True,21251,118101
305,True,22111,125396
306,True,2028,11727
307,True,8786,49442
308,True,3394,18158
309,True,24184,132926
310,True,460,2989
311,True,5391,29718
312,True,20511,112042
313,True,14596,81277
314,True,12126,67247
315,True,7178,39960
316,True,5577,30172
317,True,35353,198072
318,True,5753,33380
319,True,1931,11202
320,True,6144,33940
321,True,21790,120887
322,True,573,3373
323,True,46552,257294
324,True,13023,75396
325,True,12456,71374
326,True,8153,45192
327,True,42683,237158
328,True,3810,23150
329,True,25211,137782
330,True,19456,109595
331,True,1228,7326
332,True,6006,32370
333,True,25983,143747
334,True,4924,27703
335,True,5136,28378
336,True,21971,123305
337,True,14579,81168
338,True,5152,28311
339,True,8917,48303
340,True,1163,6640
341,True,5331,30231
342,True,21664,122038
343,True,2632,14535
344,True,638,4075
345,True,11487,62776
346,True,24955,142079
347,True,6750,37782
348,True,5339,29801
349,True,1750,9808
350,True,16280,92090
351,True,15700,86771
352,True,5405,30890
353,True,12629,70282
354,True,4431,24959
355,True,25020,139849
356,True,6237,33929
357,True,8650,50460
358,True,8525,48184
359,True,10505,58299
360,True,1400,7525
361,True,4387,25301
362,True,2115,11576
363,True,3349,19329
364,True,6696,36560
365,True,28191,157400
366,True,35147,196498
367,True,5254,29231
368,True,14384,79423
369,True,5849,32810
370,True,12009,67955
371,True,2645,14639
372,True,9559,53646
373,True,17473,98115
374,True,11785,65746
375,True,10349,58559
376,True,20477,113359
377,True,20906,116238
378,True,6367,34643
379,True,4927,27641
380,True,21175,119306
381,True,2927,15948
382,True,4387,23985
383,True,13441,74789
384,True,7231,41779
385,True,5813,32108
386,True,12688,70409
387,True,11220,63050
388,True,9851,54640
389,True,228,1703
390,True,1006,5579
391,True,2443,13138
392,True,5143,26967
393,True,8720,47520
394,True,6352,36886
395,True,8651,49803
396,True,4463,25648
397,True,24652,138368
398,True,3945,21894
399,True,4947,26420
400,True,15434,86455
401,True,8127,46240
402,True,7820,45220
403,True,16345,89807
404,True,11246,62573
405,True,17053,94565
406,True,3490,19682
407,True,10965,61194
408,True,2582,14619
409,True,5779,32057
410,True,1729,9882
411,True,6109,34023
412,True,1475,8614
413,True,3663,19853
414,True,33442,189846
415,True,6263,34217
416,True,26644,147565
417,True,6139,34169
418,True,1859,11403
419,True,9089,50316
420,True,23672,131742
421,True,6481,36944
422,True,1552,9210
423,True,6113,34686
424,True,39017,216848
425,True,30041,167623
426,True,9630,56089
427,True,749,5083
428,True,2898,15893
429,True,20364,112533
430,True,32952,182748
431,True,1288,7720
432,True,8214,46182
433,True,3588,20332
434,True,29247,158922
435,True,2783,15589
436,True,2040,10921
437,True,11902,66824
438,True,4439,25741
439,True,4159,22845
440,True,23086,128114
441,True,8038,45100
442,True,19659,110271
443,True,8262,46388
444,True,13831,78325
445,True,33486,186519
446,True,23787,133712
447,True,24668,138356
448,True,8642,48062
449,True,16784,94120
450,True,10538,58598
451,True,15878,87326
452,True,13574,73907
453,True,33748,190672
454,True,4890,27612
455,True,19797,109776
456,True,1010,5826
457,True,26956,151046
458,True,1036,6156
459,True,30710,170593
460,True,6892,38105
461,True,14662,81860
462,True,6533,37200
463,True,17447,98207
464,True,1280,7162
