iteration,solved,valid_moves,total_moves
1,True,14036,66767
2,True,17341,79249
3,True,47870,221851
4,True,36492,172094
5,True,33178,147572
6,True,4695,20543
7,True,15992,77487
8,True,10366,43783
9,True,21232,96867
10,True,51459,252124
11,True,57159,268139
12,True,39903,198486
13,True,31997,157532
14,True,7384,29007
15,True,57580,281553
16,True,20659,95521
17,True,16401,75146
18,True,40778,196200
19,True,19558,93045
20,True,36865,172199
21,True,48825,206202
22,True,41549,197376
23,True,79420,395723
24,True,21789,96923
25,True,9687,42457
26,True,13712,64332
27,True,14108,65435
28,True,17502,77783
29,True,27433,123971
30,True,19634,92951
31,True,47451,235568
32,True,37188,155073
33,True,19234,83130
34,True,26766,121054
35,True,24753,123040
36,True,12502,55977
37,True,29670,130765
38,True,37674,188045
39,True,15280,66046
40,True,30066,145663
41,True,55176,245330
42,True,47416,218868
43,True,112023,524997
44,True,29335,126674
45,True,35208,132223
46,True,88757,429966
47,True,17899,79594
48,True,37285,170177
49,True,4389,17340
50,True,34552,164779
51,True,8139,34799
52,True,18717,90203
53,True,9247,39521
54,True,23626,104760
55,True,26224,105525
56,True,69328,296706
57,True,68806,337090
58,True,15947,66888
59,True,59500,266719
60,True,15110,73933
61,True,19763,84381
62,True,18385,87435
63,True,85195,376785
64,True,42946,194311
65,True,42347,201946
66,True,98224,487943
67,True,13049,60833
68,True,28201,121982
69,True,25263,117440
70,True,73115,358243
71,True,16241,75708
72,True,20464,88216
73,True,15437,73534
74,True,32021,156915
75,True,25756,127696
76,True,15789,68811
77,True,29854,144054
78,True,39517,194422
79,True,13953,67337
80,True,34800,168014
81,True,78477,387366
82,True,67336,318379
83,True,31753,137493
84,True,31965,140934
85,True,41255,198204
86,True,27209,112193
87,True,14199,69356
88,True,10867,50961
89,True,35095,153938
90,True,19391,84683
91,True,41300,161793
92,True,28795,139826
93,True,49713,234482
94,True,10325,44410
95,True,11696,46348
96,True,23716,101122
97,True,25777,114183
98,True,9720,39902
99,True,54856,264923
100,True,60962,302766
101,True,12961,55988
102,True,24851,113829
103,True,59207,296361
104,True,29570,108303
105,True,63424,254898
106,True,65427,300138
107,True,43386,217406
108,True,51882,253217
109,True,13812,55264
110,True,44357,216818
111,True,49205,202639
112,True,8768,39026
113,True,8371,35493
114,True,21690,96308
115,True,57123,254541
116,True,37423,177411
117,True,28536,116565
118,True,20897,89798
119,True,11700,43478
120,True,11589,47418
121,True,44649,214453
122,True,58055,290988
123,True,10096,38132
124,True,11874,53362
125,True,43761,205446
126,True,29905,137014
127,True,41899,196382
128,True,13158,60489
129,True,15569,75473
130,True,21372,95793
131,True,18928,83042
132,True,12565,57869
133,True,22901,102277
134,True,173916,860492
135,True,49890,253283
136,True,37471,145299
137,True,4937,23235
138,True,59761,292539
139,True,31283,154865
140,True,29958,129775
141,True,16522,83725
142,True,82258,392134
143,True,14119,62860
144,True,33323,154689
145,True,17605,86847
146,True,17061,82476
147,True,67653,331874
148,True,27518,120983
149,True,15143,61615
150,True,54558,247016
151,True,24812,113908
152,True,58755,270802
153,True,66701,332264
154,True,73895,363075
155,True,31731,149281
156,True,56388,235534
157,True,30015,119477
158,True,58547,290406
159,True,106251,471011
160,True,15298,68737
161,True,11878,55067
162,True,51111,234525
163,True,60688,277017
164,True,23731,105911
165,True,44378,189439
166,True,11020,41416
167,True,36194,147967
168,True,10233,43800
169,True,92266,440211
170,True,24679,115998
171,True,44686,173435
172,True,18356,75544
173,True,42093,172224
174,True,16547,67733
175,True,21408,82494
176,True,32770,151855
177,True,65864,314906
178,True,14165,64198
179,True,30699,130425
180,True,17463,72560
181,True,37940,188353
182,True,48830,230322
183,True,65803,319748
184,True,52967,244097
185,True,6221,28297
186,True,22739,103972
187,True,22883,96672
188,True,30869,143109
189,True,45324,218188
190,True,67097,326414
191,True,48516,224086
192,True,23371,114804
193,True,18648,89657
194,True,21388,87357
195,True,46858,210074
196,True,57515,261812
197,True,66904,320981
198,True,38058,187829
199,True,10464,48306
200,True,42714,190855
201,True,44357,210136
202,True,27807,126985
203,True,17534,78012
204,True,13523,63147
205,True,17998,78775
206,True,14721,72723
207,True,64711,297661
208,True,18994,76738
209,True,24674,106609
210,True,28844,128037
211,True,26916,110948
212,True,34215,166635
213,True,24380,94396
214,True,7551,29081
215,True,19033,81505
216,True,65783,305367
217,True,16123,67280
218,True,31264,133981
219,True,26048,111573
220,True,33322,152594
221,True,19932,91934
222,True,8718,34399
223,True,85588,416357
224,True,20420,96871
225,True,44542,217761
226,True,28319,111227
227,True,32729,152540
228,True,27540,125282
229,True,5361,23638
230,True,44828,194409
231,True,4117,20302
232,True,9436,37028
233,True,32721,157823
234,True,36015,169033
235,True,22914,96892
236,True,66796,330815
237,True,8697,38645
238,True,75860,371532
239,True,31876,131611
240,True,68771,307538
241,True,106644,515928
242,True,8601,32527
243,True,57950,286873
244,True,73105,343885
245,True,68171,335047
246,True,41169,178155
247,True,8178,32427
248,True,15688,66022
249,True,25977,117763
250,True,20409,97450
251,True,48433,234119
252,True,79692,374495
253,True,18867,95664
254,True,71461,325725
255,True,7405,39311
256,True,39147,165565
257,True,14136,55069
258,True,38130,179674
259,True,14165,67055
260,True,34810,170104
261,True,20410,95390
262,True,9859,49772
263,True,37567,170413
264,True,15654,71319
265,True,63615,306668
266,True,38333,157846
267,True,92575,442407
268,True,12117,61026
269,True,22693,96905
270,True,35286,165764
271,True,18906,85590
272,True,37957,160299
273,True,34527,146547
274,True,26775,132793
275,True,28267,117758
276,True,11269,45496
277,True,23300,97520
278,True,17858,67449
279,True,12946,57215
280,True,24351,117926
281,True,32994,149151
282,True,44771,201311
283,True,93205,438701
284,True,45711,218837
285,True,21786,97773
286,True,20911,99873
287,True,36776,164872
288,True,55785,255992
289,True,28987,140558
290,True,14373,57602
291,True,68552,336903
292,True,31643,137456
293,True,9359,38490
294,True,11578,56780
295,True,30502,143224
296,True,46989,232424
297,True,33231,134530
298,True,44240,186461
299,True,24544,103115
300,True,32135,143647
301,True,12367,60127
302,True,17340,80134
303,True,5151,23856
304,True,9669,44389
305,True,15497,58568
306,True,19921,81542
307,True,9974,43976
308,True,64827,301716
309,True,36104,169363
310,True,24106,102372
311,True,42928,204114
312,True,30887,125781
313,True,32227,133163
314,True,3934,19772
315,True,35265,171779
316,True,34626,166145
317,True,37413,172329
318,True,27634,123742
319,True,26030,121222
320,True,41845,204066
321,True,51213,217098
322,True,32070,140034
323,True,32719,136571
324,True,47407,221954
325,True,19165,84245
326,True,22899,104720
327,True,16477,68354
328,True,62278,297606
329,True,79590,355403
330,True,25170,124460
331,True,44724,220102
332,True,45027,191622
333,True,53460,225382
334,True,20218,103025
335,True,142436,692271
336,True,82451,411461
337,True,23585,113083
338,True,81006,354829
339,True,68734,312125
340,True,32129,154840
341,True,33653,136837
342,True,21703,95554
343,True,36003,176641
344,True,88291,424795
345,True,9904,37966
346,True,17925,78039
347,True,40668,194287
348,True,80756,395045
349,True,8187,37022
350,True,16297,80994
351,True,62984,296015
352,True,41768,194958
353,True,26801,118878
354,True,28904,124072
355,True,26860,114960
356,True,23203,97958
357,True,10017,41557
358,True,35809,173144
359,True,20364,88286
360,True,46478,229656
361,True,29746,130451
362,True,18282,86987
363,True,22119,99749
364,True,97326,461238
365,True,21862,99651
366,True,85809,426337
367,True,55804,265290
368,True,23060,107839
369,True,20062,84539
370,True,51869,248525
371,True,10673,50759
372,True,16935,79573
373,True,35658,143687
374,True,14147,58737
375,True,58741,286106
376,True,11401,51325
377,True,6618,33382
378,True,69449,317462
379,True,16244,75592
380,True,17750,88432
381,True,36814,157654
382,True,30497,131298
383,True,17005,73543
384,True,33285,130603
385,True,7714,31114
386,True,34013,146126
387,True,16021,71220
388,True,34326,168304
389,True,83233,395436
390,True,68290,333225
391,True,8920,35561
392,True,33707,160213
393,True,94313,470532
394,True,19928,77393
395,True,9458,35437
396,True,12595,47820
397,True,30076,146196
398,True,25689,115563
399,True,14846,58283
400,True,21759,93316
401,True,26168,116323
402,True,24010,115401
403,True,39662,194477
404,True,39732,178003
405,True,45863,215815
406,True,73456,359198
407,True,12550,49741
408,True,16637,78557
409,True,24912,108716
410,True,29580,132636
411,True,23692,105690
412,True,9217,43028
413,True,24955,111987
414,True,4398,20318
415,True,16534,65986
416,True,17751,71244
417,True,37545,178003
418,True,33219,145286
419,True,48986,235266
420,True,49021,231914
421,True,32690,128704
422,True,14258,64005
423,True,4887,20811
424,True,38569,194792
425,True,81126,391139
426,True,31666,124308
427,True,36208,175884
428,True,11089,49331
429,True,49081,243443
430,True,7048,25934
431,True,15781,69883
432,True,10474,40749
433,True,11103,45578
434,True,4820,22483
435,True,53289,227832
436,True,15108,56019
437,True,6834,33158
438,True,58623,283436
439,True,115629,574253
440,True,27735,133391
441,True,21184,83431
442,True,83862,413030
443,True,69450,276112
444,True,24153,120113
445,True,14990,65854
446,True,38746,161588
447,True,20758,95904
448,True,38202,175779
449,True,123159,592368
450,True,11348,47557
451,True,63372,280560
452,True,59155,293336
453,True,78794,372112
454,True,26988,119209
455,True,25046,118916
456,True,36142,171640
457,True,65437,328270
458,True,54493,261756
459,True,84437,404639
460,True,45076,220782
461,True,22125,93319
462,True,129705,630784
463,True,33759,161700
464,True,13075,59681
465,True,21986,86568
466,True,19558,86700
467,True,23199,93646
468,True,57465,268972
469,True,48917,213201
470,True,42949,194911
471,True,41636,197989
472,True,60924,299639
473,True,18255,83261
474,True,28415,123991
475,True,39918,192491
476,True,36719,174612
477,True,12088,51144
478,True,14761,74579
479,True,113604,511202
480,True,41707,196037
