<<<<<<< HEAD
iteration,solved,valid_moves,total_moves
1,True,1545,6298
2,True,1396,5560
3,True,8040,32605
4,True,2652,10133
5,True,2149,8322
6,True,1703,6779
7,True,5406,21990
8,True,8048,32624
9,True,1052,4397
10,True,2896,11650
11,True,1883,7556
12,True,900,3305
13,True,587,2380
14,True,2307,8056
15,True,1357,5130
16,True,2593,10110
17,True,1991,7893
18,True,1641,5636
19,True,977,3978
20,True,784,3321
21,True,3176,12125
22,True,3696,15148
23,True,2953,11989
24,True,10639,41608
25,True,1143,4550
26,True,963,3387
27,True,9310,37254
28,True,4114,15947
29,True,4311,16757
30,True,1924,6824
31,True,3555,14329
32,True,4572,17968
33,True,3897,14733
34,True,2485,10120
35,True,1171,4271
36,True,888,3846
37,True,1360,5179
38,True,1515,5462
39,True,1771,6737
40,True,1834,7109
41,True,400,1485
42,True,4307,17177
43,True,762,2851
44,True,3747,15263
45,True,2009,8248
46,True,6792,26083
47,True,2346,9503
48,True,1728,7263
49,True,268,1119
50,True,8073,31248
51,True,2211,8910
52,True,866,2839
53,True,1582,6964
54,True,548,2001
55,True,761,2898
56,True,4602,17979
57,True,1034,4044
58,True,1030,4303
59,True,3647,13744
60,True,886,3710
61,True,3134,12651
62,True,1971,7247
63,True,1012,3740
64,True,3897,15854
65,True,6977,28273
66,True,6429,24872
67,True,1505,5988
68,True,1384,5661
69,True,2702,10239
70,True,1338,5989
71,True,539,2131
72,True,818,3012
73,True,977,4057
74,True,2710,10754
75,True,4689,17618
76,True,5597,21358
77,True,2405,9645
78,True,1351,5597
79,True,9730,38787
80,True,4758,19491
81,True,3841,15164
82,True,670,2646
83,True,2582,9663
84,True,1763,7124
85,True,1411,5982
86,True,1620,6473
87,True,6177,25048
88,True,7557,29527
89,True,893,3596
90,True,1460,5568
91,True,2285,8991
92,True,869,3889
93,True,2097,7562
94,True,1237,4787
95,True,2108,8389
96,True,935,3571
97,True,2350,10176
98,True,556,2215
99,True,2365,8920
100,True,4161,15976
101,True,3037,11493
102,True,2280,9023
103,True,3087,11855
104,True,2183,8604
105,True,857,3639
106,True,3962,15454
107,True,5125,20133
108,True,2024,7713
109,True,4642,18172
110,True,2991,12240
111,True,745,3135
112,True,1661,6103
113,True,1728,6831
114,True,1192,4744
115,True,1676,6851
116,True,299,1149
117,True,1064,4469
118,True,3007,11545
119,True,1986,8281
120,True,665,2741
121,True,685,2808
122,True,1337,4387
123,True,2212,9308
124,True,816,3137
125,True,2531,9418
126,True,4805,18430
127,True,2901,12046
128,True,2671,10394
129,True,9449,37832
130,True,1110,4550
131,True,3376,13138
132,True,571,2053
133,True,884,3496
134,True,1108,4465
135,True,6389,25038
136,True,2207,8788
137,True,1063,3825
138,True,2546,10298
139,True,3713,13780
140,True,7375,29685
141,True,269,1068
142,True,2782,11418
143,True,2513,10581
144,True,1654,6383
145,True,649,2422
146,True,3793,14044
147,True,4600,18759
148,True,580,2076
149,True,1748,6660
150,True,5065,19832
151,True,4164,16392
152,True,1350,5949
153,True,5166,20151
154,True,8336,32226
155,True,1351,5047
156,True,1875,7684
157,True,7509,29625
158,True,2754,10702
159,True,5929,22647
160,True,2412,9634
161,True,1242,5128
162,True,8528,33278
163,True,5639,22473
164,True,3555,13699
165,True,10745,41578
166,True,1062,3594
167,True,840,3180
168,True,2305,8668
169,True,1961,7741
170,True,2716,11356
171,True,1807,6847
172,True,2510,9964
173,True,2126,7810
174,True,11282,46210
175,True,1189,4171
176,True,933,3460
177,True,2195,8552
178,True,2861,10904
179,True,3962,15458
180,True,2331,9258
181,True,3857,15075
182,True,2830,10483
183,True,1087,4345
184,True,1318,5106
185,True,610,2439
186,True,1107,4434
187,True,1781,7006
188,True,1432,5606
189,True,9206,35748
190,True,4030,15851
191,True,955,3299
192,True,1304,5397
193,True,4056,15610
194,True,2953,11710
195,True,1242,5091
196,True,3933,15016
197,True,1271,5188
198,True,1760,7252
199,True,3747,14790
200,True,858,3282
201,True,7565,29758
202,True,2256,8605
203,True,2883,11291
204,True,2541,10104
205,True,1252,5093
206,True,3577,14834
207,True,1813,6918
208,True,1645,6266
209,True,1742,7418
210,True,1228,5315
211,True,2083,8543
212,True,2453,10440
213,True,4835,20086
214,True,607,2059
215,True,2251,8817
216,True,512,2052
217,True,935,4124
218,True,1292,4962
219,True,2823,10797
220,True,1519,6276
221,True,2120,8103
222,True,1894,7881
223,True,980,3872
224,True,1460,5942
225,True,3114,12434
226,True,550,2456
227,True,741,2647
228,True,685,2493
229,True,905,3939
230,True,713,3119
231,True,6120,24325
232,True,3366,13445
233,True,2282,10142
234,True,2929,12186
235,True,457,1655
236,True,1419,5244
237,True,2246,8425
238,True,2036,7856
239,True,583,2747
240,True,7979,31710
241,True,596,2481
242,True,827,3703
243,True,3855,13524
244,True,3235,13917
245,True,3021,12050
246,True,1249,4973
247,True,1565,6153
248,True,7068,27953
249,True,674,3056
250,True,807,3237
251,True,560,2276
252,True,4580,17593
253,True,4224,17224
254,True,1968,7493
255,True,1094,4358
256,True,3768,14797
257,True,1043,4030
258,True,5341,20840
259,True,7635,29040
260,True,3419,13836
261,True,8052,32503
262,True,291,1388
263,True,4118,16610
264,True,2032,7493
265,True,735,2958
266,True,1743,6460
267,True,3220,13463
268,True,2920,11795
269,True,1287,4866
270,True,4633,18384
271,True,5082,20753
272,True,1657,6203
273,True,3681,14731
274,True,1611,6446
275,True,803,2874
276,True,2205,7694
277,True,1651,7250
278,True,642,2485
279,True,4348,17633
280,True,2264,8573
281,True,3279,13316
282,True,1693,7235
283,True,943,3876
284,True,6881,26870
285,True,2995,11757
286,True,2556,10955
287,True,1049,4330
288,True,6950,27634
289,True,6776,27258
290,True,2800,11033
291,True,1326,5190
292,True,1286,5397
293,True,1172,4401
294,True,1619,6556
295,True,6173,25540
296,True,4373,16365
297,True,1154,4330
298,True,1232,4911
299,True,990,4182
300,True,946,3721
301,True,1790,7340
302,True,846,3399
303,True,2388,10170
304,True,1792,7286
305,True,665,2537
306,True,775,3230
307,True,7431,29552
308,True,12307,48804
309,True,6578,26542
310,True,2635,10861
311,True,2821,10946
312,True,2419,9035
313,True,8343,33027
314,True,846,3520
315,True,1438,5604
316,True,6773,27022
317,True,5250,20855
318,True,1517,5770
319,True,664,2768
320,True,406,1548
321,True,4075,16322
322,True,7815,31239
323,True,2724,10342
324,True,3644,13725
325,True,4962,19683
326,True,5589,20471
327,True,1794,6796
328,True,1018,3837
329,True,5086,19889
330,True,996,3829
331,True,1722,5753
332,True,2026,8439
333,True,5024,20167
334,True,898,3387
335,True,3927,15571
336,True,2127,7300
337,True,6095,23771
338,True,3164,12676
339,True,4175,16209
340,True,742,3087
341,True,341,1422
342,True,1395,5540
343,True,11779,45943
344,True,5498,22048
345,True,3924,14825
346,True,1587,5980
347,True,2576,9876
348,True,2499,9124
349,True,826,3013
350,True,1902,7195
351,True,6295,25861
352,True,9248,35509
353,True,1783,7392
354,True,2382,9493
355,True,2077,8662
356,True,1588,6260
357,True,3609,14839
358,True,880,3214
359,True,593,2214
360,True,916,4021
361,True,2639,10712
362,True,2921,10623
363,True,4023,15477
364,True,4639,18468
365,True,1604,6712
366,True,3452,14059
367,True,4315,17126
368,True,2118,8489
369,True,3202,13004
370,True,1798,7243
371,True,4268,17731
372,True,1136,4823
373,True,441,1771
374,True,965,4165
375,True,2274,8909
376,True,1563,6060
377,True,4019,15990
378,True,1488,6328
379,True,1682,6321
380,True,5585,22774
381,True,2435,9471
382,True,1882,7574
383,True,709,2917
384,True,5302,20949
385,True,557,2185
386,True,1592,6094
387,True,1091,4231
388,True,2483,10627
389,True,3652,14273
390,True,1974,8051
391,True,2069,8593
392,True,2085,7927
393,True,854,2987
394,True,2734,10560
395,True,1816,7271
396,True,2833,10937
397,True,8162,32614
398,True,10812,44142
399,True,5082,20779
400,True,9210,35461
401,True,601,2476
402,True,1402,5161
403,True,6135,24589
404,True,8058,31321
405,True,643,2265
406,True,907,3756
407,True,310,1284
408,True,1852,7506
409,True,2139,8301
410,True,4259,16647
411,True,3292,13453
412,True,3529,14645
413,True,1658,6198
414,True,1010,4084
415,True,2747,10499
416,True,1102,4437
417,True,498,2045
418,True,1280,5300
419,True,447,2014
420,True,1559,6137
421,True,2160,8494
422,True,1354,5150
423,True,3014,12480
424,True,682,2497
425,True,1643,6387
426,True,3097,12420
427,True,1796,6530
428,True,1937,7561
429,True,2628,10419
430,True,2331,8735
431,True,1833,7625
432,True,5620,22848
433,True,1537,5582
434,True,2609,10298
435,True,1467,4769
436,True,1032,3928
437,True,8315,32889
438,True,1248,4811
439,True,3967,15619
440,True,5257,20615
441,True,8856,35554
442,True,3472,13553
443,True,572,2526
444,True,876,3491
445,True,1951,7317
446,True,1383,5483
447,True,1433,5776
448,True,631,2487
449,True,1538,6295
450,True,1034,3890
451,True,1738,6983
452,True,1154,4654
453,True,1751,6138
454,True,7085,29446
455,True,1397,5391
456,True,2892,11499
457,True,721,2884
458,True,1220,4695
459,True,4679,18083
460,True,2320,9055
461,True,867,3549
462,True,1870,7422
463,True,7739,30326
464,True,5977,24387
465,True,871,2882
466,True,7079,27833
467,True,2261,9035
468,True,4104,16852
469,True,979,3587
470,True,1375,5030
471,True,498,1910
472,True,3421,13414
473,True,4298,16481
474,True,2089,8173
475,True,892,3601
476,True,2547,9806
477,True,709,2875
478,True,2216,9055
479,True,7450,29322
480,True,3343,12868
481,True,871,3440
482,True,11890,47125
483,True,530,1739
484,True,2402,10120
485,True,418,1635
486,True,777,3046
487,True,1586,6139
488,True,1713,6826
489,True,2102,8536
490,True,439,1550
491,True,3611,14343
492,True,1741,6268
493,True,2563,10033
494,True,7939,31212
495,True,969,3715
496,True,1981,8481
497,True,8444,33150
498,True,337,1246
499,True,5011,19562
500,True,445,1957
501,True,1209,4801
502,True,2497,9817
503,True,4781,18328
504,True,916,3303
505,True,2837,11201
506,True,1142,4672
507,True,2516,9981
508,True,1547,5992
509,True,711,2727
510,True,3500,13565
511,True,4713,18982
512,True,1540,6188
513,True,1566,6593
514,True,1312,4934
515,True,4672,19947
516,True,1480,5856
517,True,1993,7569
518,True,671,2540
519,True,1266,4738
520,True,4662,17792
521,True,5574,22879
522,True,3256,12569
523,True,2585,9873
524,True,2963,12735
525,True,447,1682
526,True,5380,20791
527,True,537,2559
528,True,7628,30212
529,True,1335,4984
530,True,4731,18576
531,True,2082,7992
532,True,22817,90454
533,True,511,2018
534,True,5884,23000
535,True,1341,5342
536,True,1824,7315
537,True,582,2364
538,True,933,3712
539,True,6141,24086
540,True,907,3831
541,True,3581,14056
542,True,795,3007
543,True,2292,9038
544,True,1231,4698
545,True,5043,19110
546,True,4843,19281
547,True,1088,4479
548,True,4014,14704
549,True,1762,6282
550,True,8872,34500
551,True,4461,17759
552,True,3576,14976
553,True,865,3125
554,True,368,1402
555,True,4574,18453
556,True,1637,6632
557,True,2238,8793
558,True,3679,14352
559,True,1134,4174
560,True,1731,6033
561,True,1613,6509
562,True,263,1024
563,True,1745,7127
564,True,1211,4537
565,True,4832,19670
566,True,1396,5724
567,True,1819,7710
568,True,1314,4839
569,True,3994,15487
570,True,586,2114
571,True,9414,37823
572,True,4049,15588
573,True,3424,13837
574,True,1988,7501
575,True,1542,6233
576,True,4284,17405
577,True,835,3412
578,True,4563,18205
579,True,2169,8557
580,True,1756,7241
581,True,2430,10198
582,True,3050,12074
583,True,1231,4483
584,True,475,1925
585,True,2437,9386
