<<<<<<< HEAD
iteration,solved,valid_moves,total_moves
1,True,44918,166183
2,True,8116,30644
3,True,41241,153750
4,True,80216,301686
5,True,93317,352190
6,True,18913,65173
7,True,29000,96939
8,True,14716,54004
9,True,5983,24414
10,True,20336,73287
11,True,6486,25191
12,True,37215,128059
13,True,79516,276195
14,True,22020,75363
15,True,41155,148962
16,True,14748,52345
17,True,4568,19506
18,True,40895,152267
19,True,12307,45659
20,True,90907,326323
21,True,38468,141159
22,True,10943,38190
23,True,4482,17284
24,True,36346,133702
25,True,21938,85562
26,True,48007,183855
27,True,42080,142096
28,True,15206,54095
29,True,65273,245890
30,True,29239,107502
31,True,9048,35651
32,True,63934,227474
33,True,76735,274118
34,True,65479,238081
35,True,27106,102377
36,True,19883,75266
37,True,32636,118349
38,True,27669,102591
39,True,53444,194936
40,True,171734,643580
41,True,26794,98249
42,True,22141,85109
43,True,24173,85865
44,True,10474,40080
45,True,3170,12182
46,True,61831,227471
47,True,82785,299838
48,True,9361,39002
49,True,19528,78204
50,True,4272,17042
51,True,25301,96158
52,True,72009,257499
53,True,13511,60731
54,True,46788,169234
55,True,51426,190477
56,True,43703,165317
57,True,16989,57201
58,True,14760,55890
59,True,60438,215246
60,True,3432,14337
61,True,60238,222527
62,True,14281,56069
63,True,9157,34038
64,True,55783,204617
65,True,17267,67501
66,True,9527,37025
67,True,42191,155495
68,True,17110,60134
69,True,144314,521070
70,True,46198,165389
71,True,13667,48374
72,True,37043,137938
73,True,9765,33362
74,True,41347,137882
75,True,29335,107203
76,True,4762,16186
77,True,32166,119615
78,True,27993,107420
79,True,135565,500106
80,True,9741,37018
81,True,66398,238613
82,True,96057,353853
83,True,15021,56481
84,True,106091,386830
85,True,11132,40568
86,True,8342,30170
87,True,18447,65745
88,True,12348,48803
89,True,48550,180691
90,True,32871,126675
91,True,3047,12104
92,True,51832,182277
93,True,41758,144514
94,True,10733,41862
95,True,50780,199378
96,True,78929,281122
97,True,100928,368139
98,True,30110,104444
99,True,29332,108926
100,True,2063,7803
101,True,6250,25343
102,True,16373,65555
103,True,62473,229594
104,True,72267,259435
105,True,35502,135877
106,True,24476,90002
107,True,66022,235616
108,True,29878,114571
109,True,48040,180705
110,True,95130,337495
111,True,64701,232768
112,True,120833,435719
113,True,19478,70698
114,True,47433,178561
115,True,93648,331140
116,True,42971,148966
117,True,33644,125932
118,True,25438,98945
119,True,145316,514097
120,True,15419,56183
121,True,74586,273221
122,True,27366,105865
123,True,1520,6865
124,True,34706,123936
125,True,35471,132136
126,True,39274,139178
127,True,17968,72549
128,True,12819,49924
129,True,138789,523136
130,True,146146,536608
131,True,51592,186116
132,True,22576,83858
133,True,77505,293671
134,True,10430,44881
135,True,30621,109919
136,True,60758,221988
137,True,21232,79095
138,True,19826,76216
139,True,22955,81768
140,True,11332,40225
141,True,17933,66997
142,True,51128,183592
143,True,45225,162819
144,True,42981,158451
145,True,22782,89281
146,True,39498,144619
147,True,59818,217662
148,True,32314,113084
149,True,31380,111745
150,True,42350,140683
151,True,26698,97991
152,True,12605,49792
153,True,37166,130936
154,True,12869,53001
155,True,20814,79682
156,True,51598,188657
157,True,125705,468381
158,True,28840,102087
159,True,135875,494384
160,True,80814,270684
161,True,58612,206990
162,True,30148,111587
163,True,10232,41712
164,True,35113,128394
165,True,24058,83655
166,True,13731,55257
167,True,35060,126941
168,True,13063,47602
169,True,78259,284812
170,True,36216,131206
171,True,58435,221952
172,True,65604,237426
173,True,21546,75135
174,True,16080,63508
175,True,19677,70409
176,True,40095,144642
177,True,7219,27983
178,True,10915,40439
179,True,12351,42314
180,True,24778,89561
181,True,42166,146618
182,True,73387,279788
